Product code,Bureau of Meteorology station number,Year,Month,Mean minimum temperature (°C),Quality
IDCJAC0004,075041,2009,10,10.1,Y
IDCJAC0004,075041,2009,11,18.2,Y
IDCJAC0004,075041,2009,12,16.2,Y
IDCJAC0004,075041,2010,01,18.8,Y
IDCJAC0004,075041,2010,02,20.3,Y
IDCJAC0004,075041,2010,03,15.4,Y
IDCJAC0004,075041,2010,04,12.1,Y
IDCJAC0004,075041,2010,05,7.2,Y
IDCJAC0004,075041,2010,06,5.7,Y
IDCJAC0004,075041,2010,07,3.3,Y
IDCJAC0004,075041,2010,08,4.1,Y
IDCJAC0004,075041,2010,09,5.3,Y
IDCJAC0004,075041,2010,10,9.7,Y
IDCJAC0004,075041,2010,11,13.8,Y
IDCJAC0004,075041,2010,12,14.8,Y
IDCJAC0004,075041,2011,01,19.4,Y
IDCJAC0004,075041,2011,02,18.0,Y
IDCJAC0004,075041,2011,03,14.3,Y
IDCJAC0004,075041,2011,04,9.4,Y
IDCJAC0004,075041,2011,05,4.5,Y
IDCJAC0004,075041,2011,06,4.0,Y
IDCJAC0004,075041,2011,07,3.7,Y
IDCJAC0004,075041,2011,08,5.2,Y
IDCJAC0004,075041,2011,09,6.5,Y
IDCJAC0004,075041,2011,10,10.5,Y
IDCJAC0004,075041,2011,11,15.4,Y
IDCJAC0004,075041,2011,12,15.2,Y
IDCJAC0004,075041,2012,01,17.8,Y
IDCJAC0004,075041,2012,02,16.9,Y
IDCJAC0004,075041,2012,03,13.4,Y
IDCJAC0004,075041,2012,04,9.3,Y
IDCJAC0004,075041,2012,05,4.6,Y
IDCJAC0004,075041,2012,06,3.2,Y
IDCJAC0004,075041,2012,07,3.0,Y
IDCJAC0004,075041,2012,08,2.0,Y
IDCJAC0004,075041,2012,09,5.5,Y
IDCJAC0004,075041,2012,10,8.2,Y
IDCJAC0004,075041,2012,11,14.5,Y
IDCJAC0004,075041,2012,12,15.9,Y
IDCJAC0004,075041,2013,01,18.4,Y
IDCJAC0004,075041,2013,02,19.1,Y
IDCJAC0004,075041,2013,03,14.7,Y
IDCJAC0004,075041,2013,04,9.2,Y
IDCJAC0004,075041,2013,05,6.7,Y
IDCJAC0004,075041,2013,06,5.0,Y
IDCJAC0004,075041,2013,07,4.6,Y
IDCJAC0004,075041,2013,08,4.4,Y
IDCJAC0004,075041,2013,09,8.2,Y
IDCJAC0004,075041,2013,10,8.7,Y
IDCJAC0004,075041,2013,11,12.0,Y
IDCJAC0004,075041,2013,12,16.2,Y
IDCJAC0004,075041,2014,01,18.8,Y
