Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,015590,1986,03,0.0,Y
IDCJAC0001,015590,1986,04,0.4,Y
IDCJAC0001,015590,1986,05,8.0,Y
IDCJAC0001,015590,1986,06,80.6,Y
IDCJAC0001,015590,1986,07,144.0,Y
IDCJAC0001,015590,1986,08,13.2,Y
IDCJAC0001,015590,1986,09,0.2,Y
IDCJAC0001,015590,1986,10,36.6,Y
IDCJAC0001,015590,1986,11,77.6,Y
IDCJAC0001,015590,1986,12,19.6,Y
IDCJAC0001,015590,1987,01,3.0,Y
IDCJAC0001,015590,1987,02,25.4,Y
IDCJAC0001,015590,1987,03,4.6,Y
IDCJAC0001,015590,1987,04,7.0,Y
IDCJAC0001,015590,1987,05,2.6,Y
IDCJAC0001,015590,1987,06,36.0,Y
IDCJAC0001,015590,1987,07,0.0,Y
IDCJAC0001,015590,1987,08,3.8,Y
IDCJAC0001,015590,1987,09,3.6,Y
IDCJAC0001,015590,1987,10,1.2,Y
IDCJAC0001,015590,1987,11,24.4,Y
IDCJAC0001,015590,1987,12,72.6,Y
IDCJAC0001,015590,1988,01,2.8,Y
IDCJAC0001,015590,1988,02,0.2,Y
IDCJAC0001,015590,1988,03,222.2,Y
IDCJAC0001,015590,1988,04,29.4,Y
IDCJAC0001,015590,1988,05,17.4,Y
IDCJAC0001,015590,1988,06,1.6,Y
IDCJAC0001,015590,1988,07,16.2,Y
IDCJAC0001,015590,1988,08,7.2,Y
IDCJAC0001,015590,1988,09,1.0,Y
IDCJAC0001,015590,1988,10,2.6,Y
IDCJAC0001,015590,1988,11,17.4,Y
IDCJAC0001,015590,1988,12,57.6,Y
IDCJAC0001,015590,1989,01,1.8,Y
IDCJAC0001,015590,1989,02,0.6,Y
IDCJAC0001,015590,1989,03,110.2,Y
IDCJAC0001,015590,1989,04,14.2,Y
IDCJAC0001,015590,1989,05,6.4,Y
IDCJAC0001,015590,1989,06,0.0,Y
IDCJAC0001,015590,1989,07,6.4,Y
IDCJAC0001,015590,1989,08,0.8,Y
IDCJAC0001,015590,1989,09,0.2,Y
IDCJAC0001,015590,1989,10,5.2,Y
IDCJAC0001,015590,1989,11,23.8,Y
