Product code,Station number,Year,Month,Highest temperature (°C),Day,Quality
IDCJAC0005,069134,2016,02,31.3,23,Y
IDCJAC0005,069134,2016,03,32.0,02,Y
IDCJAC0005,069134,2016,04,34.5,06,Y
IDCJAC0005,069134,2016,05,26.6,17,Y
IDCJAC0005,069134,2016,06,21.2,20,Y
IDCJAC0005,069134,2016,07,24.1,22,Y
IDCJAC0005,069134,2016,08,24.5,19,Y
IDCJAC0005,069134,2016,09,24.0,09,Y
IDCJAC0005,069134,2016,10,29.9,16,Y
IDCJAC0005,069134,2016,11,37.7,22,Y
IDCJAC0005,069134,2016,12,38.1,13,Y
IDCJAC0005,069134,2017,01,42.9,30,Y
IDCJAC0005,069134,2017,02,38.0,11,Y
IDCJAC0005,069134,2017,03,30.5,28,Y
IDCJAC0005,069134,2017,04,25.1,08,Y
IDCJAC0005,069134,2017,05,24.4,01,Y
IDCJAC0005,069134,2017,06,19.9,04,Y
IDCJAC0005,069134,2017,07,24.0,30,Y
IDCJAC0005,069134,2017,08,24.1,11,Y
IDCJAC0005,069134,2017,09,36.6,23,Y
IDCJAC0005,069134,2017,10,30.2,11,Y
IDCJAC0005,069134,2017,11,28.0,24,Y
IDCJAC0005,069134,2017,12,36.5,14,Y
IDCJAC0005,069134,2018,01,32.3,20,Y
IDCJAC0005,069134,2018,02,37.6,24,Y
IDCJAC0005,069134,2018,03,38.0,18,Y
IDCJAC0005,069134,2018,04,34.1,13,Y
IDCJAC0005,069134,2018,05,27.2,03,Y
IDCJAC0005,069134,2018,06,17.0,02,Y
IDCJAC0005,069134,2018,08,23.7,11,Y
IDCJAC0005,069134,2018,09,30.1,15,Y
