Product code,Station number,Year,Month,Highest minimum temperature (°C),Day,Quality
IDCJAC0007,014015,1960,10,27.3,30,Y
IDCJAC0007,014015,1960,11,27.8,21,Y
IDCJAC0007,014015,1960,12,28.2,28,Y
IDCJAC0007,014015,1961,01,27.3,08,Y
IDCJAC0007,014015,1961,02,26.6,20,Y
IDCJAC0007,014015,1961,03,27.0,31,Y
IDCJAC0007,014015,1961,04,26.1,01,Y
IDCJAC0007,014015,1961,05,25.5,02,Y
IDCJAC0007,014015,1961,06,20.4,05,Y
IDCJAC0007,014015,1961,07,22.6,21,Y
IDCJAC0007,014015,1961,08,21.1,02,Y
IDCJAC0007,014015,1961,09,24.9,18,Y
IDCJAC0007,014015,1961,10,26.5,29,Y
IDCJAC0007,014015,1961,11,27.8,15,Y
IDCJAC0007,014015,1961,12,28.9,05,Y
IDCJAC0007,014015,1962,01,26.6,11,Y
IDCJAC0007,014015,1962,02,28.0,26,Y
IDCJAC0007,014015,1962,03,26.9,08,Y
IDCJAC0007,014015,1962,04,25.6,06,Y
IDCJAC0007,014015,1962,05,25.1,29,Y
IDCJAC0007,014015,1962,06,25.0,03,Y
IDCJAC0007,014015,1962,07,23.4,15,Y
IDCJAC0007,014015,1962,08,22.4,12,Y
IDCJAC0007,014015,1962,09,26.1,27,Y
IDCJAC0007,014015,1962,10,28.1,20,Y
IDCJAC0007,014015,1962,11,28.7,11,Y
IDCJAC0007,014015,1962,12,28.7,31,Y
IDCJAC0007,014015,1963,01,28.8,02,Y
IDCJAC0007,014015,1963,02,26.0,20,Y
IDCJAC0007,014015,1963,03,28.3,19,Y
IDCJAC0007,014015,1963,04,26.1,13,Y
IDCJAC0007,014015,1963,05,23.4,20,Y
IDCJAC0007,014015,1963,06,23.9,07,Y
IDCJAC0007,014015,1963,07,20.2,31,Y
IDCJAC0007,014015,1963,08,22.3,29,Y
IDCJAC0007,014015,1963,09,25.6,18,Y
IDCJAC0007,014015,1963,10,26.4,05,Y
IDCJAC0007,014015,1963,11,27.7,28,Y
IDCJAC0007,014015,1963,12,28.7,16,Y
IDCJAC0007,014015,1964,01,27.9,24,Y
IDCJAC0007,014015,1964,02,28.4,02,Y
IDCJAC0007,014015,1964,03,27.3,06,Y
IDCJAC0007,014015,1964,04,26.8,05,Y
IDCJAC0007,014015,1964,05,24.9,09,Y
IDCJAC0007,014015,1964,06,22.0,01,Y
IDCJAC0007,014015,1964,07,21.0,11,Y
IDCJAC0007,014015,1964,08,23.7,29,Y
IDCJAC0007,014015,1964,09,26.6,30,Y
IDCJAC0007,014015,1964,10,27.6,12,Y
IDCJAC0007,014015,1964,11,28.9,20,Y
IDCJAC0007,014015,1964,12,27.5,16,Y
IDCJAC0007,014015,1965,01,28.1,29,Y
IDCJAC0007,014015,1965,02,27.9,11,Y
IDCJAC0007,014015,1965,03,26.1,09,Y
IDCJAC0007,014015,1965,04,24.4,15,Y
IDCJAC0007,014015,1965,05,24.9,01,Y
IDCJAC0007,014015,1965,06,23.6,12,Y
IDCJAC0007,014015,1965,07,19.4,10,Y
IDCJAC0007,014015,1965,08,22.2,27,Y
IDCJAC0007,014015,1965,09,25.1,11,Y
IDCJAC0007,014015,1965,10,25.7,28,Y
IDCJAC0007,014015,1965,11,27.9,20,Y
IDCJAC0007,014015,1965,12,28.1,12,Y
IDCJAC0007,014015,1966,01,28.5,06,Y
IDCJAC0007,014015,1966,02,27.6,27,Y
IDCJAC0007,014015,1966,03,26.9,16,Y
IDCJAC0007,014015,1966,04,25.5,24,Y
IDCJAC0007,014015,1966,05,24.8,05,Y
IDCJAC0007,014015,1966,06,23.7,02,Y
IDCJAC0007,014015,1966,07,21.0,02,Y
IDCJAC0007,014015,1966,08,24.0,30,Y
IDCJAC0007,014015,1966,09,25.5,27,Y
IDCJAC0007,014015,1966,10,26.1,13,Y
IDCJAC0007,014015,1966,11,27.7,12,Y
IDCJAC0007,014015,1966,12,27.2,31,Y
IDCJAC0007,014015,1967,01,27.0,28,Y
IDCJAC0007,014015,1967,02,24.6,24,Y
IDCJAC0007,014015,1967,03,26.3,15,Y
IDCJAC0007,014015,1967,04,24.5,08,Y
IDCJAC0007,014015,1967,05,24.1,22,Y
IDCJAC0007,014015,1967,06,22.3,02,Y
IDCJAC0007,014015,1967,07,21.6,22,Y
IDCJAC0007,014015,1967,08,23.8,22,Y
IDCJAC0007,014015,1967,09,24.2,27,Y
IDCJAC0007,014015,1967,10,27.0,16,Y
IDCJAC0007,014015,1967,11,28.6,24,Y
IDCJAC0007,014015,1967,12,29.1,27,Y
IDCJAC0007,014015,1968,01,29.3,17,Y
IDCJAC0007,014015,1968,02,26.7,18,Y
IDCJAC0007,014015,1968,03,26.8,28,Y
IDCJAC0007,014015,1968,04,26.8,29,Y
IDCJAC0007,014015,1968,05,25.6,02,Y
IDCJAC0007,014015,1968,06,23.2,15,Y
IDCJAC0007,014015,1968,07,23.2,05,Y
IDCJAC0007,014015,1968,08,23.9,26,Y
IDCJAC0007,014015,1968,09,25.0,25,Y
IDCJAC0007,014015,1968,10,26.8,01,Y
IDCJAC0007,014015,1968,11,28.5,24,Y
IDCJAC0007,014015,1968,12,28.8,02,Y
IDCJAC0007,014015,1969,01,27.8,18,Y
IDCJAC0007,014015,1969,02,26.9,17,Y
IDCJAC0007,014015,1969,03,26.6,13,Y
IDCJAC0007,014015,1969,04,26.2,13,Y
IDCJAC0007,014015,1969,05,26.1,02,Y
IDCJAC0007,014015,1969,06,21.2,27,Y
IDCJAC0007,014015,1969,07,23.9,20,Y
IDCJAC0007,014015,1969,08,23.7,30,Y
IDCJAC0007,014015,1969,09,25.1,07,Y
IDCJAC0007,014015,1969,10,22.9,06,Y
IDCJAC0007,014015,1969,11,28.4,30,Y
IDCJAC0007,014015,1969,12,29.0,06,Y
IDCJAC0007,014015,1970,01,28.8,21,Y
IDCJAC0007,014015,1970,02,28.9,04,Y
IDCJAC0007,014015,1970,03,27.9,08,Y
IDCJAC0007,014015,1970,04,25.8,22,Y
IDCJAC0007,014015,1970,05,24.9,22,Y
IDCJAC0007,014015,1970,06,24.0,20,Y
IDCJAC0007,014015,1970,07,21.1,09,Y
IDCJAC0007,014015,1970,08,23.1,31,Y
IDCJAC0007,014015,1970,09,26.6,24,Y
IDCJAC0007,014015,1970,10,27.6,30,Y
IDCJAC0007,014015,1970,11,28.4,05,Y
IDCJAC0007,014015,1970,12,28.9,29,Y
IDCJAC0007,014015,1971,01,28.6,26,Y
IDCJAC0007,014015,1971,02,28.1,17,Y
IDCJAC0007,014015,1971,03,27.3,10,Y
IDCJAC0007,014015,1971,04,25.6,15,Y
IDCJAC0007,014015,1971,05,24.3,30,Y
IDCJAC0007,014015,1971,06,22.7,07,Y
IDCJAC0007,014015,1971,07,23.7,13,Y
IDCJAC0007,014015,1971,08,25.0,27,Y
IDCJAC0007,014015,1971,09,25.6,26,Y
IDCJAC0007,014015,1971,10,28.6,19,Y
IDCJAC0007,014015,1971,11,28.5,19,Y
IDCJAC0007,014015,1971,12,28.1,28,Y
IDCJAC0007,014015,1972,01,28.7,07,Y
IDCJAC0007,014015,1972,02,28.6,11,Y
IDCJAC0007,014015,1972,03,25.6,28,Y
IDCJAC0007,014015,1972,04,25.6,15,Y
IDCJAC0007,014015,1972,05,23.9,09,Y
IDCJAC0007,014015,1972,06,21.8,14,Y
IDCJAC0007,014015,1972,07,20.6,22,Y
IDCJAC0007,014015,1972,08,23.7,31,Y
IDCJAC0007,014015,1972,09,24.9,23,Y
IDCJAC0007,014015,1972,10,26.5,18,Y
IDCJAC0007,014015,1972,11,27.0,10,Y
IDCJAC0007,014015,1972,12,28.1,29,Y
IDCJAC0007,014015,1973,01,27.5,10,Y
IDCJAC0007,014015,1973,02,28.0,19,Y
IDCJAC0007,014015,1973,03,27.8,29,Y
IDCJAC0007,014015,1973,04,26.0,08,Y
IDCJAC0007,014015,1973,05,25.8,02,Y
IDCJAC0007,014015,1973,06,23.9,26,Y
IDCJAC0007,014015,1973,07,23.0,01,Y
IDCJAC0007,014015,1973,08,24.9,31,Y
IDCJAC0007,014015,1973,09,26.5,25,Y
IDCJAC0007,014015,1973,10,27.2,24,Y
IDCJAC0007,014015,1973,11,29.0,05,Y
IDCJAC0007,014015,1973,12,28.1,20,Y
IDCJAC0007,014015,1974,01,27.2,21,Y
IDCJAC0007,014015,1974,02,27.8,18,Y
IDCJAC0007,014015,1974,03,26.6,12,Y
IDCJAC0007,014015,1974,04,25.7,20,Y
IDCJAC0007,014015,1974,05,24.8,06,Y
IDCJAC0007,014015,1974,06,21.0,26,Y
IDCJAC0007,014015,1974,07,22.3,24,Y
IDCJAC0007,014015,1974,08,25.0,27,Y
IDCJAC0007,014015,1974,09,26.7,25,Y
IDCJAC0007,014015,1974,10,26.7,25,Y
IDCJAC0007,014015,1974,11,28.8,19,Y
IDCJAC0007,014015,1974,12,27.5,10,Y
IDCJAC0007,014015,1975,01,27.4,17,Y
IDCJAC0007,014015,1975,02,26.1,13,Y
IDCJAC0007,014015,1975,03,25.8,18,Y
IDCJAC0007,014015,1975,04,25.4,24,Y
IDCJAC0007,014015,1975,05,24.9,01,Y
IDCJAC0007,014015,1975,06,22.6,10,Y
IDCJAC0007,014015,1975,07,22.2,27,Y
IDCJAC0007,014015,1975,08,24.0,06,Y
IDCJAC0007,014015,1975,09,26.0,26,Y
IDCJAC0007,014015,1975,10,28.3,23,Y
IDCJAC0007,014015,1975,11,28.3,18,Y
IDCJAC0007,014015,1975,12,27.3,31,Y
IDCJAC0007,014015,1976,01,27.6,01,Y
IDCJAC0007,014015,1976,02,26.4,11,Y
IDCJAC0007,014015,1976,03,25.5,20,Y
IDCJAC0007,014015,1976,04,25.7,14,Y
IDCJAC0007,014015,1976,05,23.5,08,Y
IDCJAC0007,014015,1976,06,22.4,04,Y
IDCJAC0007,014015,1976,07,22.8,31,Y
IDCJAC0007,014015,1976,08,22.4,30,Y
IDCJAC0007,014015,1976,09,23.7,09,Y
IDCJAC0007,014015,1976,10,27.0,15,Y
IDCJAC0007,014015,1976,11,28.3,27,Y
IDCJAC0007,014015,1976,12,28.2,01,Y
IDCJAC0007,014015,1977,01,27.9,21,Y
IDCJAC0007,014015,1977,02,28.0,13,Y
IDCJAC0007,014015,1977,03,26.7,11,Y
IDCJAC0007,014015,1977,04,26.8,13,Y
IDCJAC0007,014015,1977,05,25.2,05,Y
IDCJAC0007,014015,1977,06,21.5,20,Y
IDCJAC0007,014015,1977,07,21.4,12,Y
