Line,gens,rep,time,pop,collection,exp,gen
S06,G100,3,35,S06,2006,11,G100-2006
S06,G100,3,32,S06,2006,11,G100-2006
S06,G100,3,47,S06,2006,11,G100-2006
S06,G100,3,26,S06,2006,11,G100-2006
S06,G100,3,38,S06,2006,11,G100-2006
S06,G100,3,29,S06,2006,11,G100-2006
S06,G100,3,32,S06,2006,11,G100-2006
S06,G100,3,26,S06,2006,11,G100-2006
S06,G100,3,26,S06,2006,11,G100-2006
S06,G100,3,29,S06,2006,11,G100-2006
S06,G100,3,32,S06,2006,11,G100-2006
S06,G100,3,23,S06,2006,11,G100-2006
S06,G100,3,38,S06,2006,11,G100-2006
S06,G100,3,23,S06,2006,11,G100-2006
S06,G100,3,29,S06,2006,11,G100-2006
SYD2018,G0,1,56,Sydney,2018/2019,11,G0-2018/2019
SYD2018,G0,1,50,Sydney,2018/2019,11,G0-2018/2019
SYD2018,G0,1,32,Sydney,2018/2019,11,G0-2018/2019
SYD2018,G0,1,47,Sydney,2018/2019,11,G0-2018/2019
SYD2018,G0,1,47,Sydney,2018/2019,11,G0-2018/2019
SYD2018,G0,1,56,Sydney,2018/2019,11,G0-2018/2019
SYD2018,G0,1,59,Sydney,2018/2019,11,G0-2018/2019
SYD2018,G0,1,53,Sydney,2018/2019,11,G0-2018/2019
SYD2018,G0,1,44,Sydney,2018/2019,11,G0-2018/2019
SYD2018,G0,1,47,Sydney,2018/2019,11,G0-2018/2019
SYD2018,G0,1,44,Sydney,2018/2019,11,G0-2018/2019
SYD2018,G0,1,50,Sydney,2018/2019,11,G0-2018/2019
SYD2018,G0,1,47,Sydney,2018/2019,11,G0-2018/2019
SYD2018,G0,1,56,Sydney,2018/2019,11,G0-2018/2019
SYD2018,G0,1,53,Sydney,2018/2019,11,G0-2018/2019
SYD2018,G0,1,47,Sydney,2018/2019,11,G0-2018/2019
SYD2018,G0,1,56,Sydney,2018/2019,11,G0-2018/2019
SYD2018,G0,1,23,Sydney,2018/2019,11,G0-2018/2019
SYD2018,G0,1,44,Sydney,2018/2019,11,G0-2018/2019
SYD2018,G0,2,26,Sydney,2018/2019,11,G0-2018/2019
