Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,031108,2003,04,27.4,Y
IDCJAC0002,031108,2003,05,25.2,Y
IDCJAC0002,031108,2003,06,24.9,Y
IDCJAC0002,031108,2003,07,23.0,Y
IDCJAC0002,031108,2003,08,24.6,Y
IDCJAC0002,031108,2003,09,27.9,Y
IDCJAC0002,031108,2003,10,31.0,Y
IDCJAC0002,031108,2003,11,30.1,Y
IDCJAC0002,031108,2003,12,31.1,Y
IDCJAC0002,031108,2004,01,30.5,Y
IDCJAC0002,031108,2004,02,29.2,Y
IDCJAC0002,031108,2004,03,27.9,Y
IDCJAC0002,031108,2004,04,25.5,Y
IDCJAC0002,031108,2004,05,25.1,Y
IDCJAC0002,031108,2004,06,22.9,Y
IDCJAC0002,031108,2004,07,23.2,Y
IDCJAC0002,031108,2004,08,25.3,Y
IDCJAC0002,031108,2004,09,26.0,Y
IDCJAC0002,031108,2004,10,30.0,Y
IDCJAC0002,031108,2004,11,30.4,Y
IDCJAC0002,031108,2004,12,30.9,Y
IDCJAC0002,031108,2005,01,29.3,Y
IDCJAC0002,031108,2005,02,30.1,Y
IDCJAC0002,031108,2005,03,28.4,Y
IDCJAC0002,031108,2005,04,26.1,Y
IDCJAC0002,031108,2005,05,24.7,Y
IDCJAC0002,031108,2005,06,24.5,Y
IDCJAC0002,031108,2005,07,23.5,Y
IDCJAC0002,031108,2005,08,22.9,Y
IDCJAC0002,031108,2005,09,27.6,Y
IDCJAC0002,031108,2005,10,30.7,Y
IDCJAC0002,031108,2005,11,30.8,Y
IDCJAC0002,031108,2005,12,32.4,Y
IDCJAC0002,031108,2006,01,29.9,Y
IDCJAC0002,031108,2006,02,29.7,Y
IDCJAC0002,031108,2006,03,27.7,Y
IDCJAC0002,031108,2006,04,26.6,Y
IDCJAC0002,031108,2006,05,24.1,Y
IDCJAC0002,031108,2006,06,23.0,Y
IDCJAC0002,031108,2006,07,22.9,Y
IDCJAC0002,031108,2006,08,23.5,Y
IDCJAC0002,031108,2006,09,25.5,Y
IDCJAC0002,031108,2006,10,26.7,Y
IDCJAC0002,031108,2006,11,30.6,Y
IDCJAC0002,031108,2006,12,29.7,Y
IDCJAC0002,031108,2007,01,30.6,Y
IDCJAC0002,031108,2007,02,28.0,Y
IDCJAC0002,031108,2007,03,28.9,Y
IDCJAC0002,031108,2007,04,26.5,Y
IDCJAC0002,031108,2007,05,26.1,Y
IDCJAC0002,031108,2007,06,23.1,Y
IDCJAC0002,031108,2007,07,22.3,Y
IDCJAC0002,031108,2007,08,24.3,Y
IDCJAC0002,031108,2007,09,27.9,Y
IDCJAC0002,031108,2007,10,29.7,Y
IDCJAC0002,031108,2007,11,30.1,Y
IDCJAC0002,031108,2007,12,31.1,Y
IDCJAC0002,031108,2008,01,29.8,Y
IDCJAC0002,031108,2008,02,29.0,Y
IDCJAC0002,031108,2008,03,26.7,Y
IDCJAC0002,031108,2008,04,26.2,Y
IDCJAC0002,031108,2008,05,24.5,Y
IDCJAC0002,031108,2008,06,23.5,Y
IDCJAC0002,031108,2008,07,23.4,Y
IDCJAC0002,031108,2008,08,24.2,Y
IDCJAC0002,031108,2008,09,27.3,Y
IDCJAC0002,031108,2008,10,28.0,Y
